206.9169
Btn2|-12.76992|1
Btn1|-10.65987|50
Btn1|-1.509663|99
Btn2|2.050364|104
Btn1|10.37042|105
Btn2|13.01048|92
Btn1|20.38065|92
Btn2|21.43067|49
Btn1|32.78093|74
Btn2|33.83096|66
Btn1|43.13976|52
Btn2|43.16976|57
Btn1|55.51768|104
Btn2|56.46753|80
Btn1|66.1859|93
Btn2|66.29588|86
Btn1|72.59666|146
Btn2|73.05676|105
Btn1|79.71818|56
Btn2|79.78819|49
Btn2|83.70903|61
Btn1|83.70903|74
Btn2|86.69967|56
Btn1|86.69967|78
Btn2|93.36109|54
Btn1|93.36109|69
Btn1|96.77182|59
Btn2|96.79182|65
Btn2|99.18233|64
Btn1|99.18233|78
Btn1|106.944|382
Btn2|107.014|379
Btn1|119.9468|141
Btn2|121.117|79
Btn1|137.2463|201
Btn2|135.0275|502
Btn1|143.5029|443
Btn2|146.1214|225
Btn1|151.8383|117
Btn2|150.4191|262
Btn1|155.916|115
Btn2|156.7556|105
Btn1|160.3336|111
Btn2|160.6534|86
Btn1|164.3814|131
Btn2|166.1204|57
Btn1|169.2287|121
Btn2|177.3642|56
Btn1|177.3642|78
Btn2|180.6624|56
Btn1|180.6624|61
